,listing,price,brand,size
67,"Cynthia Rowley Daisy Floral Beaded Canvas Tote Bag
          
      NWT",110.0,Cynthia Rowley,OS
68,Lot of 2‎ Convertible Crossbody Boho Bags with Straps,19.0,,OS
69,"Betsey Johnson Cream Winged Crossbody Bag
          
      NWT",85.0,Betsey Johnson,OS
70,Vera Bradley Handbag,27.0,Vera Bradley,OS
71,Michael Kors Tan Tote Bag with Signature MK Charm 11 1/2 x 14 x 4 1/2,79.0,Michael Kors,11 1/2 x 14 x 4 1/2
72,"Trader Joe’s Green and Cream Canvas Tote Bag
          
      NWT",25.0,Trader Joe’s,OS
73,Christian Dior Honeycomb Canvas Shoulder Bag PVC Leather Black Auth ti2422,674.0,Dior,W8.3 x H6.7 x D2.0inch(Approx)
74,"NWT BURBERRY Check Camera Bag Small Grey Mink
          
      NWT",799.0,Burberry,OS
75,J CREW Devon Camera Leopard Calf Hair Leather Crossbody Bag,16.0,J. Crew,OS
76,Valentino Garavani Leather Handbag with Gold Accents,700.0,Valentino Garavani,10inW x 9inH x 5inD
77,Chic Pink Quilted Mini Bag with Gold Chain,9.0,,OS
78,Vera Bradley‎ Black Quilted Coin Purse Keychain Key Ring Wallet Small Pouch,10.0,Vera Bradley,OS
79,orYANY Isabella Leather Hobo Bag Tan Double Handle Tassel Shoulder Purse Italian,69.0,orYANY,OS
80,Simply Vera Wang Black Wristlet Clutch with Tassels,20.0,Simply Vera Vera Wang,OS
81,The Sak Black Crochet Leather Trim Shoulder Bag Tote Contrast Stitching,22.0,The Sak,OS
82,Coach Ultraviolet Legacy Slim Wallet,45.0,Coach,OS
83,Elegant Brown Studded Tote Bag cato brand,24.0,Cato,OS
84,Leather Backpack Purse Designer Shoulder Bag Fashion Faux Work Travel Handbag,113.0,,OS
85,"NO BOUNDARIES Fashion 4-Poster‎ Bag Top Handle Tote Bag • Metallic Denim
          
      NWT",20.0,No Boundaries,OS
86,Coach Champagne Pleated Leather Wristlet/Clutch,20.0,Coach,OS
87,Brown Designer Name Print Large Cosmetic Bag,35.0,,OS
88,Chanel calfskin Gabrielle hobo Medium in hot pink,2200.0,CHANEL,11”x8.5”
89,Rare. Love Moschino Blush Crossbody Bag with Heart Embellishments. GUC,100.0,Love Moschino,OS
90,"Finial price drop 
Brahmin Kylie NWOT 
White and Gray Women's Bag",225.0,Brahmin,OS
91,Roper Tan Leather Long Wallet with Embossed American flag Western Boho NWOT,25.0,Roper,OS
92,Michael Kors Black and Brown Crossbody Bag,27.0,Michael Kors,OS
93,"M&M x Kate Spade M&M's Candy 3D Embellished Crossbody Bag Novelty Purse
          
      NWT",550.0,kate spade,OS
94,Chloe Tricolor Hobo bag,750.0,Chloé,OS
95,"Small Crossbody Purses for Women Pu Leather Chain Quilted Handbag
          
      NWT",39.0,,OS
96,Authentic FENDI Vintage Zucchino Monogram Canvas Tote Bag Tan Leather -COA,550.0,Fendi,OS
97,Black Lancome beaded clutch,18.0,Lancome,OS
98,Rare Zebra Haircalf Clutch Embellished Statement Evening Bag,320.0,On Pedder,OS
99,This item is no longer available,999.0,The Sak,OS
100,"🆕 VERA BRADLEY Laid Back Days Await WRISTLET NWT
          
      NWT",20.0,Vera Bradley,8 1/2 x 5 1/2
101,"Monogram Brown & Black Handbag
          
      NWT",238.0,,OS
102,Louis Vuitton Nanogram Victorine Wallet – Pink Embossed Leather,1200.0,Louis Vuitton,OS
103,Gucci Leather Zip Around Wallet With Web Black,350.0,Gucci,OS
104,Wom Handbag Crystal‎ Clutch Studded Pink Fuschia Purse Evening Holiday Bag,30.0,Unbranded,OS
105,"bebe Tan Quilted Clutch Wristlet
          
      NWT",35.0,bebe,"7 1/2"" x 4"""
106,"KATE SPADE ♠️ Crossbody Purse,retro “Checking in car”. NWOT, pink Cadillac",200.0,kate spade,OS
107,Tommy Bahama pink Tropical Hibiscus Canvas Drawstring Beach‎ Bucket Bag,35.0,Tommy Bahama,OS
108,"LO & SONS ORIGINAL CATALINA TOTE - HUGE NWT
          
      NWT",110.0,Lo & Sons,OS
109,"Anthropologie Frankie Clutch Purse Bag Pleated Metallic Copper Magnet Close NWT
          
      NWT",60.0,Anthropologie,OS
110,"Waterproof Cat Dumpling Cosmetic Makeup Bag
          
      NWT",17.0,Uma Hana,OS
111,Coach Coral Tote 14L X 10 H X 8W measurements.,150.0,Coach,OS
112,"🎁 NEW Louis Vuitton Mini Pochette in Damier Ebene Made in France 🇫🇷
          
      NWT",1200.0,Louis Vuitton,OS
